post_date,price,mfdate,mileage,gear_box,condition,fuel,body_style,origin,district,city,car_age,is_imported
2025,393000000,2011,16000.0,Số sàn,Đã sử dụng,Dầu,Suv / cross over,Trong nước,Quận Hai Bà Trưng,Hà Nội,14,0
2025,830000000,2017,120000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Nam Từ Liêm,Hà Nội,8,0
2025,599000000,2019,50000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Cầu Giấy,Hà Nội,6,0
2025,635000000,2023,33000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Long Biên,Hà Nội,2,0
2025,425000000,2016,88000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Nam Từ Liêm,Hà Nội,9,0
2025,1380000000,2016,60000.0,Tự động,Đã sử dụng,Xăng,Sedan,Nhập khẩu,Quận Tây Hồ,Hà Nội,9,1
2025,280000000,2019,45000.0,Tự động,Đã sử dụng,Xăng,Hatchback,Trong nước,Huyện Thanh Trì,Hà Nội,6,0
2025,535000000,2021,90000.0,Tự động,Đã sử dụng,Dầu,Pick-up (bán tải),Nhập khẩu,Quận Thanh Xuân,Hà Nội,4,1
2025,450000000,2021,55000.0,Tự động,Đã sử dụng,Xăng,Hatchback,Trong nước,Quận Long Biên,Hà Nội,4,0
2025,2580000000,2014,60000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Nhập khẩu,Quận Tây Hồ,Hà Nội,11,1
2025,205000000,2011,126933.0,Tự động,Đã sử dụng,Xăng,Minivan (mpv),Trong nước,Quận Hoàn Kiếm,Hà Nội,14,0
2025,895000000,2023,54000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Thanh Xuân,Hà Nội,2,0
2025,415000000,2014,130000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Thanh Xuân,Hà Nội,11,0
2025,715000000,2018,80000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Nhập khẩu,Quận Nam Từ Liêm,Hà Nội,7,1
2025,335000000,2015,16.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Huyện Thanh Oai,Hà Nội,10,0
2025,255000000,2014,140000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Bắc Từ Liêm,Hà Nội,11,0
2025,850000000,2020,60000.0,Tự động,Đã sử dụng,Dầu,Suv / cross over,Trong nước,Quận Long Biên,Hà Nội,5,0
2025,179000000,2007,17.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Huyện Thanh Oai,Hà Nội,18,0
2025,780000000,2018,50000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Tây Hồ,Hà Nội,7,0
2025,740000000,2022,18000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Nam Từ Liêm,Hà Nội,3,0
2025,645000000,2020,65000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Long Biên,Hà Nội,5,0
2025,225000000,2025,19.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Hoàng Mai,Hà Nội,0,0
2025,505000000,2021,50000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Nam Từ Liêm,Hà Nội,4,0
